Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Pittsburgh,1.3553,1.3378,-1.2105,1.2871,0.8764,0.6122,0.7031,1.3095,1.2632
Butler,1.2894,1.2621,-0.0144,1.1818,0.5029,1.0217,-0.3276,1.6194,1.1057
Nebraska,1.3111,1.7159,-0.9139,1.2775,0.9453,1.0217,0.9239,1.2856,1.4909
Xavier,1.322,0.2034,1.6411,1.2105,-0.0429,-0.0023,1.0124,0.5343,1.1057
Iowa,1.2099,0.9597,0.1005,1.0957,0.2846,0.7877,0.3939,0.7513,1.4909
Boise State,1.3403,0.5816,1.4498,1.3349,0.8764,1.8413,-0.07,1.6194,1.1436
Nevada,1.2785,1.7742,-0.244,1.3254,1.3877,1.8413,0.7031,1.6194,1.1436
Utah State,1.2792,1.7159,1.1244,1.4498,1.6118,1.8413,1.8074,1.6194,1.1436
Texas A&M,1.3132,0.8141,0.9426,1.3062,0.4168,1.3497,1.0124,0.4357,1.3583
Providence,1.2215,1.3378,0.1483,1.1627,0.727,2.1923,-0.2246,0.9991,1.1057
Virginia Tech,1.3077,0.9597,1.2584,1.2297,0.2846,0.858,1.0124,0.8303,1.2632
Washington,1.2072,0.9597,1.4689,1.0478,0.0605,-0.6169,0.7031,0.6176,0.8762
Indiana State,1.1841,1.2621,-1.0383,1.4402,1.652,1.3497,2.2493,1.1089,0.6049
Ohio State,1.2086,1.7159,0.4641,1.1053,0.2846,0.7877,-0.8431,0.5981,1.4909
Central Florida,1.1726,1.0541,-0.4928,1.0861,0.0835,0.6122,0.1876,0.8303,1.7764
Maryland,1.1488,0.9597,-1.1531,1.0287,0.0605,0.0857,0.1876,0.6892,1.4909
Northwestern,1.195,1.3378,-1.201,1.1914,0.9453,1.2267,1.4762,0.9991,1.4909
Oregon,1.1583,0.9597,0.3876,1.1435,0.8764,0.2027,1.2186,1.0768,0.8762
Seton Hall,1.1325,0.5816,-0.1292,1.134,0.727,1.3497,0.7031,0.7513,1.1057
Drake,1.1502,1.2621,0.9617,1.3158,1.652,2.3329,1.2186,1.1371,0.6049
Miami (FL),1.0462,1.3378,-0.8469,1.0,0.2846,0.4755,0.7031,0.9518,1.2632
Virginia,1.159,1.3378,0.2919,1.2584,1.2269,1.0217,1.6308,1.0768,1.2632
Kansas State,1.0938,1.134,-0.7416,0.9617,0.2846,0.7877,0.3939,0.6892,1.7764
Minnesota,1.0639,1.3378,-1.7081,0.9904,0.6466,-0.6169,0.4823,1.0408,1.4909
South Carolina,1.123,1.7742,-1.0957,1.1722,1.6118,2.1923,2.2493,1.0408,1.3583
NC State,1.0184,0.9597,-1.134,1.0191,0.6466,-0.0023,1.0124,1.2856,1.2632
Mississippi,1.0014,2.0941,0.0718,1.1148,1.336,0.7877,1.4762,1.6194,1.3583
Grand Canyon,0.9933,1.6781,1.0383,1.2967,2.2725,1.8413,1.2186,1.6194,-0.2025
San Francisco,1.0625,0.9056,-0.5981,1.1531,1.4394,-0.6169,-0.8431,1.6194,0.1142
Florida State,0.9444,0.2034,1.5359,0.8182,-0.0429,0.6122,1.0897,0.3172,1.2632
Louisiana State,0.9226,0.4942,-0.0431,0.8947,-0.0429,0.858,0.1876,0.5343,1.3583
Virginia Commonwealth,0.9695,0.4942,1.0574,1.0574,0.8764,1.8413,0.7031,0.6892,0.9946
James Madison,0.8608,2.0941,-1.4785,1.201,2.0772,1.8413,1.2186,1.4128,-0.3849
Boston College,0.8832,1.3378,0.5694,0.9139,0.4168,-0.6169,0.7031,0.9991,1.2632
St. Bonaventure,0.9423,1.0541,-0.378,1.067,0.6466,0.0857,1.2186,1.0408,0.9946
North Texas,0.9444,0.0142,-0.2057,0.9809,0.1869,-0.6169,0.3939,0.8958,0.5726
Stanford,0.8418,0.0142,0.1292,0.7512,-0.2727,0.6122,0.3939,-0.2796,0.8762
Bradley,0.8982,0.8461,1.6603,1.0766,0.8017,1.0217,0.1876,0.8533,0.6049
Georgia,0.8744,1.134,0.8182,0.799,0.1869,0.0857,0.1876,1.2578,1.3583
Rutgers,0.8608,0.9597,-0.1579,0.8852,0.1869,0.4755,1.0124,0.8303,1.4909
Richmond,0.8846,0.4942,-1.1914,1.0383,1.1062,1.8413,1.2186,0.9518,0.9946
Syracuse,0.8547,1.2621,1.6124,0.8756,0.5029,0.0857,1.2186,0.9518,1.2632
Penn State,0.8126,0.2034,-0.866,0.7895,-0.3761,0.3664,-0.156,0.5343,1.4909
UCLA,0.8275,-0.4018,-0.0048,0.7321,0.0605,-0.6169,0.4823,0.3793,0.8762
Memphis,0.7841,1.4543,0.9809,0.9043,0.9453,1.3497,0.9239,0.9991,0.5726
